ds,temp,humi,precipitation,rain,snowfall,weathercode,wind,press
2019-02-10,-11.429166674613953,40.0,0.0,0.0,0.0,0.125,9.295833299557367,1024.6291681925456
2019-02-11,-9.908333281675974,38.5,0.0,0.0,0.0,1.5,10.0,1023.0208358764648
2019-02-12,-11.73958326379458,42.5,39.88679299824343,0.0,0.0,0.0,9.120833396911621,1025.3625081380208
2019-02-13,-11.500000103660252,40.73913043478261,36.187846731316306,0.0,0.0,0.0,9.3739130600639,1025.6043462338655
2019-02-14,-10.78478255479232,49.34782608695652,0.0,0.0,0.0,0.043478260869565216,8.186956524848938,1026.695657481318
2019-02-15,-6.512500015397866,64.16666666666667,0.13750000235935053,0.0,0.0991666658471028,43.0,8.312499970197678,1016.9583333333334
2019-02-16,-6.73636360060085,49.63636363636363,38.595830939834826,0.0,0.0,0.045454545454545456,10.159090887416493,1011.7090897993608
2019-02-17,-4.766666731176277,46.5,0.0,0.0,0.0,0.0,11.90000009536743,1011.3375015258789
2019-02-18,-4.239130429599596,60.391304347826086,41.90881979450188,0.0,0.0,0.5217391304347826,6.8869564844214395,1017.504346764606
2019-02-19,-1.2391304503316465,81.56521739130434,0.0739130458754042,0.034782609537891716,0.027391304140505578,23.26086956521739,6.347826118054598,1014.3913016941236
2019-02-20,0.1541666630655527,66.41666666666667,0.07916666846722364,0.0,0.05541666628171999,30.875,7.697916567325592,1011.8874994913737
2019-02-21,-1.6652173762736113,63.43478260869565,0.0,0.0,0.0,0.0,8.295652202937914,1016.8347804857337
2019-02-22,-0.2916666840513547,64.41666666666667,0.0,0.0,0.0,0.20833333333333334,6.987499992052714,1014.5874989827474
2019-02-23,-1.2374999870856602,56.0,0.0,0.0,0.0,0.0,8.604166587193808,1016.7458368937174
2019-02-24,1.381250021668772,72.625,0.0,0.0,0.0,2.1666666666666665,8.995833297570547,1011.1333312988281
2019-02-25,-0.5416666728754839,45.166666666666664,0.0,0.0,0.0,0.0,9.46249990661939,1012.645825703939
2019-02-26,-2.1521739596905918,44.95652173913044,0.0,0.0,0.0,0.08695652173913043,8.956521822058637,1017.5347873853599
2019-02-27,-1.8590908873487602,52.77272727272727,38.612019217027594,0.0,0.0,0.8181818181818182,7.572727306322618,1019.4090936834162
2019-02-28,0.8166666713853677,73.83333333333333,0.012500000186264513,0.0,0.008750000037252903,9.708333333333334,7.341666678587596,1012.2166697184244
2019-03-01,0.6249999552965164,61.791666666666664,0.0,0.0,0.0,0.041666666666666664,8.89375008145968,1012.3333358764648
2019-03-02,-0.5673912731201752,57.43478260869565,0.0,0.0,0.0,0.13043478260869565,6.747826044974119,1013.9086940599525
2019-03-03,1.847826119026412,70.26086956521739,0.0,0.0,0.0,0.7391304347826086,6.526086921277254,1008.6521686056387
2019-03-04,2.1041666753590107,54.958333333333336,0.0,0.0,0.0,1.0,8.675000056624413,1010.5708312988281
2019-03-05,0.8166666602094969,81.79166666666667,0.0,0.0,0.0,2.4583333333333335,5.499999950329463,1014.1750005086263
2019-03-06,3.262499961691598,64.16666666666667,0.0,0.0,0.0,1.75,9.541666651765505,1010.4625015258789
2019-03-07,0.304347794988881,39.34782608695652,0.0,0.0,0.0,0.34782608695652173,10.643478248430336,1011.6521765667459
2019-03-08,0.07391304036845332,55.65217391304348,33.111326664830656,0.0,0.0,0.0,6.752173828042072,1014.6608674422554
2019-03-09,2.3000000715255737,68.4090909090909,0.0,0.0,0.0,2.227272727272727,9.086363619024105,1009.9227267178622
2019-03-10,1.4739130641455236,48.869565217391305,0.0,0.0,0.0,1.173913043478261,8.130434720412545,1014.3000063688858
2019-03-11,0.7541666720062494,55.291666666666664,0.0,0.0,0.0,2.0416666666666665,6.229166666666667,1003.5041631062826
2019-03-12,0.20869564848101657,80.8695652173913,0.10434782731792201,0.021739130758720894,0.05782608623089998,22.52173913043478,6.091304359228714,999.7695684018342
2019-03-13,-1.149999996026357,49.833333333333336,0.0666666670391957,0.0,0.0466666662444671,19.916666666666668,11.593750019868216,1002.0166651407877
2019-03-14,-0.19565217974393265,56.95652173913044,0.0,0.0,0.0,1.391304347826087,10.486956471982209,1010.9173902428669
